Unnamed: 0,x,y
29,27.439,61.592
30,36.135,47.921
31,57.007,58.585
32,48.139,55.497
33,68.219,58.102
34,11.281,43.002
35,39.013,57.09
36,45.975,38.417
37,23.366,73.105
38,44.935,36.147
39,41.605,55.079
40,42.939,56.375
41,23.078,47.315
42,31.744,24.726
43,46.832,55.273
44,48.91,26.47
45,32.939,66.523
46,58.714,54.407
47,14.145,59.295
48,18.175,61.278
49,65.725,68.466
50,24.32,43.529
51,29.437,25.541
52,61.328,50.429
53,57.32,51.421
54,36.827,42.119
55,33.654,56.547
56,37.883,35.625
57,26.214,77.873
58,26.344,68.817
59,48.709,57.061
60,43.282,82.946
61,50.281,60.634
62,36.198,6.88
63,40.693,47.168
64,49.954,77.321
65,59.334,51.965
66,53.359,33.661
67,31.922,72.247
68,23.427,39.039
69,40.394,51.629
70,59.094,73.316
71,36.611,51.127
72,18.124,53.677
73,44.032,56.963
74,19.065,39.363
75,19.008,49.557
76,51.111,42.446
77,38.309,55.419
78,41.1,38.337
79,34.871,50.83
80,24.961,44.037
81,62.505,43.894
82,46.04,59.562
83,63.356,47.132
84,53.284,55.087
85,47.847,43.168
86,62.001,52.662
87,47.818,53.46
88,33.944,52.366
89,27.227,49.835
90,41.369,61.822
91,54.593,47.246
92,46.543,38.07
93,38.008,61.962
94,47.132,55.107
95,32.017,55.332
96,44.545,59.534
97,64.175,61.115
98,37.445,59.096
99,40.589,78.293
0,39.367,46.595
1,37.675,37.621
2,28.213,35.853
3,40.7,57.478
4,46.276,66.508
5,17.986,55.689
6,66.454,48.848
7,39.12,45.747
8,39.61,55.554
9,22.575,63.194
10,45.342,61.095
11,31.965,65.363
12,17.079,45.169
13,38.254,61.958
14,39.485,40.756
15,37.994,42.013
16,47.346,46.62
17,46.808,73.791
18,47.503,48.296
19,29.675,55.729
20,40.609,72.196
21,25.883,46.182
22,47.616,52.041
23,40.231,68.197
24,39.717,42.202
25,48.813,46.816
26,37.388,43.643
27,57.942,31.097
28,18.529,59.21
29,27.576,61.634
30,42.758,52.263
31,55.091,42.313
32,24.672,39.032
33,29.522,53.29
34,39.969,37.144
35,47.899,51.487
36,30.218,37.119
37,52.943,53.333
38,41.429,59.114
39,47.165,57.709
40,36.472,63.831
41,44.155,73.63
42,22.148,40.861
43,30.296,64.094
44,40.911,53.564
45,46.716,51.911
46,38.263,38.535
47,43.096,55.317
48,26.618,79.825
49,49.212,82.391
50,35.992,41.291
51,40.841,60.22
52,65.898,53.799
53,36.62,57.816
54,29.762,44.095
55,33.481,57.708
56,52.779,48.245
57,43.396,51.825
58,25.747,33.528
59,48.075,37.046
60,32.959,64.961
61,44.929,49.287
62,43.001,46.111
63,48.808,57.928
64,49.79,55.973
65,38.41,59.497
66,17.916,37.699
67,49.977,56.997
68,21.846,51.825
69,57.713,52.771
70,48.451,51.645
71,25.364,48.335
72,58.874,39.657
73,46.91,28.509
74,23.159,58.637
75,45.52,69.543
76,36.443,48.224
77,51.331,39.005
78,39.286,30.913
79,45.873,45.346
80,37.215,43.8
81,55.774,56.066
82,42.306,62.669
83,52.133,54.577
84,32.11,56.563
85,35.618,46.732
86,63.544,46.477
87,52.064,65.676
88,53.929,41.864
89,38.781,55.742
90,52.237,50.222
91,43.432,47.067
92,31.121,66.045
93,40.253,41.438
94,32.407,48.205
95,53.242,57.052
96,52.508,45.957
97,38.728,44.099
98,21.567,35.279
99,31.898,44.797
0,28.168,51.986
1,28.646,42.089
2,52.011,50.679
3,38.434,67.699
4,38.283,35.646
5,56.749,48.033
6,64.443,29.451
7,49.141,26.141
8,42.492,47.799
9,59.629,38.931
10,28.572,75.639
11,21.726,58.896
12,62.834,86.077
13,36.484,19.043
14,56.077,40.54
15,31.36,50.057
16,52.71,61.567
17,50.723,62.786
18,33.708,13.45
19,43.364,53.319
20,29.662,45.481
21,44.651,65.227
22,38.019,54.943
23,25.869,42.446
24,54.722,68.514
25,16.176,50.244
26,44.804,44.799
27,29.704,52.025
28,51.812,43.823
29,44.185,50.969
30,57.872,53.533
31,44.025,43.573
32,33.603,39.712
33,49.665,36.374
34,62.035,51.801
35,53.31,61.207
36,30.16,77.43
37,69.499,44.392
38,35.649,62.759
39,41.439,43.395
40,29.016,53.349
41,35.752,54.104
42,37.453,46.828
43,48.994,44.264
44,45.833,58.072
45,26.452,34.808
46,42.873,54.504
47,19.459,38.407
48,43.039,47.45
49,48.155,47.275
50,30.167,55.062
51,58.021,58.703
52,46.245,43.001
53,46.057,50.282
54,40.248,71.238
55,56.007,37.18
56,20.928,31.461
57,39.076,38.42
58,41.813,45.104
59,50.501,31.888
60,34.539,31.105
61,35.863,45.639
62,41.693,34.924
63,38.922,30.919
64,32.111,47.228
65,49.995,66.595
66,31.203,37.84
67,59.809,43.067
68,34.3,68.709
69,21.347,49.195
70,49.881,35.849
71,41.478,52.752
72,39.394,45.696
73,43.294,43.859
74,19.741,53.324
75,32.022,40.682
76,27.875,56.444
77,28.551,59.037
78,36.57,46.556
79,57.814,49.695
80,45.888,53.068
81,32.397,48.087
82,42.225,67.94
83,43.894,54.076
84,19.218,45.559
85,19.8,57
86,64.792,61.585
87,50.355,52.322
88,38.881,64.782
89,50.353,44.177
90,28.535,64.207
91,25.958,45.99
92,52.149,40.708
93,35.444,38.68
94,33.859,36.867
95,33.412,32.306
96,52.447,36.281
97,52.764,59.083
98,53.468,79.754
99,43.125,26.293
0,45.503,54.792
1,32.926,28.414
2,31.91,54.754
3,55.594,52.531
4,44.964,26.912
5,65.044,62.993
6,47.777,35.951
7,37.691,37.487
8,33.919,54.722
9,28.561,48.097
10,38.712,41.597
11,48.029,45.063
12,39.351,52.142
13,19.615,56.931
14,47.846,54.357
15,25.581,36.738
16,30.087,64.398
17,37.94,52.208
18,44.753,33.859
19,58.637,33.509
20,63.908,54.168
21,44.45,47.157
22,31.264,56.392
23,22.143,59.656
24,45.437,43.603
25,36.521,50.319
26,37.502,48.606
27,55.714,57.192
28,58.073,66.975
29,38.642,45.674
30,43.198,51.057
31,25.272,42.707
32,20.973,66.933
33,46.582,46.455
34,36.97,65.455
35,38.498,31.282
36,43.748,40.066
37,35.219,39.049
38,48.598,65.172
39,35.617,36.664
40,58.242,39.523
41,23.903,54.701
42,29.467,50.605
43,43.678,57.611
44,44.405,36.592
45,51.496,39.93
46,49.974,77.825
47,34.173,62.327
48,46.623,67.029
49,57.482,57.664
50,51.986,49.691
51,35.328,51.172
52,25.348,31.549
53,24.794,41.302
54,33.47,55.488
55,61.702,40.716
56,25.297,40.676
57,44.528,49.95
58,34.324,63.099
59,38.969,61.474
60,31.933,47.002
61,17.228,43.467
62,24.524,38.287
63,43.996,62.092
64,53.065,51.997
65,37.362,62.654
66,54.061,35.02
67,47.824,51.324
68,46.122,46.77
69,41.753,35.518
70,54.68,72.032
71,36.708,36.283
72,31.147,55.577
73,41.579,67.582
74,37.716,53.007
75,29.715,49.988
76,39.163,40.643
77,37.607,43.827
78,30.321,35.174
79,26.278,31.605
80,67.863,40.82
81,51.725,54.149
82,34.14,44.115
83,47.119,65.518
84,44.83,56.13
85,35.576,63.176
86,23.281,31.205
87,30.489,60.768
88,42.568,62.309
89,26.557,35.651
90,46.062,35.406
91,49.913,56.099
92,41.125,53.483
93,19,39.816
94,37.791,28.447
95,54.768,34.562
96,50.195,40.359
97,42.701,40.291
98,44.636,59.766
99,27.103,30.02
0,41.532,35.917
1,44.033,41.391
2,39.929,37.785
3,14.611,61.279
4,35.216,47.658
5,29.682,40.463
6,53.983,67.096
7,23.196,43.43
8,37.492,56.975
9,33.833,43.703
10,51.224,66.722
11,47.201,55.324
12,49.793,40.686
13,19.82,50.958
14,53.432,61.17
15,23.726,73.704
16,41.073,28.923
17,37.133,27.052
18,15.549,63.778
19,46.318,56.894
20,42.76,45.611
21,41.312,54.568
22,44.565,63.229
23,31.16,25.207
24,16.675,18.02
25,24.12,47.025
26,41.768,59.364
27,52.137,53.061
28,41.948,43.278
29,53.119,31.003
30,55.487,46.031
31,29.919,37.351
32,53.686,64.011
33,53.387,64.022
34,42.366,54.089
35,29.974,32.707
36,63.392,41.495
37,38.474,47.358
38,35.264,52.171
39,47.502,28.499
40,45.069,30.472
41,42.948,61.574
42,53.513,46.773
43,41.786,31.798
44,44.118,63.024
45,35.627,28.843
46,38.791,58.282
47,46.278,36.429
48,44.171,43.805
49,50.802,47.271
50,47.374,44.128
51,38.935,65.778
52,30.946,49.419
53,51.388,52.077
54,17.096,18.075
55,27.488,41.39
56,65.263,43.376
57,41.692,67.317
58,26.167,51.699
59,53.728,42.401
60,38.587,44.47
61,56.926,57.862
62,33.507,61.217
63,30.681,69.75
64,42.045,32.625
65,64.598,41.984
66,30.578,47.388
67,46.716,32.536
68,27.405,53.255
69,42.892,66.514
70,44.39,58.995
71,25.76,40.997
72,40.228,49.816
73,42.126,45.796
74,24.84,46.218
75,35.809,48.482
76,43.638,65.325
77,39.582,58.245
78,24.564,54.352
79,24.551,62.438
80,36.913,55.363
81,23.244,78.629
82,46.671,40.284
83,45.727,48.887
84,31.383,54.218
85,45.122,20.537
86,47.669,42.81
87,50.21,41.037
88,61.138,41.126
89,58.227,33.89
90,45.133,42.861
91,55.755,56.357
92,51.921,49.679
93,41.855,52.076
94,53.715,61.421
95,50.925,64.56
96,49.067,46.416
97,35.683,61.227
98,18.377,55.872
99,46.564,53.247
0,53.257,36.118
1,17.292,64.172
2,19.36,35.956
3,40.734,53.086
4,34.372,51.549
5,54.087,41.863
6,46.315,35.378
7,33.023,39.651
8,20.449,60.533
9,47.835,38.575
10,26.342,33.158
11,52.881,67.864
12,54.642,66.382
13,37.433,36.728
14,48.996,69.068
15,2.198,62.98
16,45.742,28.957
17,53.916,47.006
18,34.042,44.089
19,45.663,71.984
20,43.381,49.994
21,23.468,46.212
22,26.274,65.728
23,47.842,45.003
24,48.833,31.141
25,24.707,52.638
26,29.729,55.679
27,14.707,40.031
28,27.533,53.158
29,53.316,64.822
30,38.641,52.511
31,46.458,47.849
32,34.683,45.595
33,29.131,67.583
34,47.305,25.531
35,35.561,37.277
36,37.631,47.047
37,37.641,59.633
38,28.433,68.505
39,31.173,29.135
40,30.051,62.924
41,48.921,49.499
42,46.428,39.235
43,33.531,50.041
44,63.88,52.65
45,28.687,49.37
46,9.75,58.162
47,61.274,64.968
48,40.106,40.964
49,49.032,46.564
50,44.266,48.217
51,34.454,50.24
52,48.122,47.812
53,31.165,39.861
54,49.843,57.889
55,66.059,70.219
56,22.19,49.568
57,51.495,41.985
58,51.807,58.215
59,40.778,34.067
60,37.507,53.408
61,21.487,42.132
62,38.874,41.931
63,47.478,44.478
64,47.475,44.227
65,25.533,45.577
66,28.488,43.913
67,43.789,56.585
68,36.283,54.049
69,62.954,54.039
70,31.087,72.102
71,29.988,54.022
72,44.144,46.021
73,72.842,68.42
74,22.889,61.281
75,21.479,48.802
76,57.021,33.184
77,64.216,45.117
78,37.985,56.728
79,48.229,36.017
80,51.866,48.885
81,60.306,55.424
82,43.196,24.384
83,46.37,54.618
84,42.391,39.3
85,24.62,47.543
86,46.715,53.427
87,23.311,82.636
88,42.418,67.408
89,43.734,68.26
90,47.687,39.109
91,45.024,41.325
92,39.934,42.104
93,23.697,57.575
94,48.889,77.958
95,31.177,41.833
96,47.014,64.608
97,55.659,36.029
98,22.966,49.016
99,30.057,45.904
0,44.412,39.262
1,55.671,47.261
2,23.667,44.928
3,52.287,51.529
4,40.221,56.749
5,43.601,53.972
6,41.477,58.33
7,6.838,38.928
8,55.021,49.543
9,40.322,41.59
10,41.523,49.849
11,46.446,28.945
12,42.722,35.826
13,36.457,32.957
14,43.62,35.028
15,39.59,38.943
16,26.703,47.64
17,35.75,55.852
18,36.127,46.756
19,36.191,45.357
20,31.984,34.056
21,9.213,55.623
22,55.596,48.032
23,43.456,47.966
24,45.586,31.237
25,31.204,37.806
26,46.349,54.257
27,55.784,39.38
28,27.001,56.777
29,52.526,29.898
30,62.5,37.629
31,56.876,41.425
32,28.473,42.679
33,68.942,31.445
34,26.066,38.715
35,11.887,72.203
36,35.687,33.05
37,38.732,44.644
38,26.791,55.935
39,56.113,66.818
40,30.552,47.738
41,31.784,69.951
42,40.399,31.659
43,48.491,40.995
44,50.516,50.33
45,43.132,38.949
46,31.887,47.407
47,40.885,45.184
48,17.197,50.602
49,36.941,38.038
50,42.611,33.753
51,38.772,24.182
52,48.804,47.166
53,29.319,38.828
54,45.796,50.468
55,30.91,36.173
56,33.091,51.596
57,60.465,64.956
58,33.54,43.468
59,52.034,34.971
60,34.002,40.045
61,35.879,50.098
62,18.366,40.206
63,31.231,36.936
64,32.075,68.078
65,28.739,51.448
66,34.302,41.074
67,46.198,59.566
68,14.253,64.367
69,35.56,39.93
70,37.94,47.405
71,33.64,64.696
72,52.293,69.504
73,23.693,39.025
74,41.008,49.099
75,32.761,37.741
76,31.018,26.349
77,14.361,46.556
78,50.947,60.444
79,35.338,52.873
80,49.49,62.813
81,35.643,62.279
82,35.596,71.556
83,32.584,38.223
84,26.222,33.38
85,52.731,27.397
86,29.85,51.925
87,23.667,24.428
88,31.162,42.552
89,38.622,64.654
90,42.548,39.766
91,26.643,35.969
92,30.283,53.014
93,27.216,43.633
94,49.302,44.817
95,67.213,57.052
96,48,66.852
97,32.118,48.065
98,59.928,53.42
99,50.391,27.654
0,43.999,45.32
1,29.705,59.297
2,37.213,42.101
3,46.715,61.794
4,13.45,53.608
5,43.126,33.993
6,33.704,47.653
7,38.183,60.31
8,34.84,45.261
9,64.023,84.984
10,29.602,48.762
11,48.68,33.265
12,43.503,41.515
13,56.182,46.769
14,42.714,72.72
15,41.253,82.331
16,41.707,47.923
17,51.245,29.32
18,15.781,39.281
19,51.557,42.596
20,42.141,40.517
21,36.735,54.994
22,35.388,65.234
23,67.844,49.201
24,33.356,68.022
25,27.477,44.784
26,33.483,74.9
27,38.835,45.975
28,30.825,63.837
29,37.871,40.448
30,32.718,47.469
31,58.24,73.438
32,47.412,34.539
33,65.824,43.937
34,38.823,71.201
35,44.612,37.118
36,66.948,43.809
37,49.9,58.818
38,45.949,67.977
39,71.405,22.276
40,42.606,49.716
41,20.573,30.264
42,35.728,83.024
43,25.553,77.94
44,39.048,64.594
45,23.134,57.465
46,43.411,60.032
47,29.414,50.338
48,43.296,53.952
49,30.314,79.436
50,31.595,40.306
51,26.932,50.255
52,54.846,57.679
53,35.081,63.304
54,48.364,40.912
55,36.239,59.166
56,26.008,50.256
57,24.54,65.893
58,16.608,33.37
59,8.177,41.92
60,34.006,55.131
61,53.094,39.99
62,57.003,42.263
63,61.843,71.416
64,51.98,52.179
65,36.619,71.298
66,19.967,53.74
67,52.491,41.193
68,15.911,55.713
69,35.604,71.587
70,17.479,25.725
71,32.503,65.722
72,46.554,75.321
73,43.482,61.073
74,59.809,80.826
75,36.272,68.728
76,22.548,32.484
77,36.294,46.269
78,65.508,47.557
79,49.908,54.446
80,45.943,40.401
81,32.552,42.846
82,51.926,44.588
83,43.173,66.241
84,44.602,58.307
85,45.072,42.473
86,59.635,46.136
87,51.028,56.894
88,24.664,65.814
89,39.595,63.294
90,31.447,48.348
91,50.843,62.339
92,22.739,70.795
93,39.52,52.937
94,42.214,39.975
95,45.392,62.41
96,30.488,56.232
97,41.681,56.495
98,41.715,37.137
99,26.567,36.289
0,43.559,61.646
1,37.192,50.236
2,53.419,52.578
3,32.483,47.423
4,41.615,48.623
5,43.311,47.702
6,51.77,33.548
7,50.933,42.747
8,37.576,52.417
9,41.418,42.484
10,52.484,77.28
11,33.263,53.684
12,46.605,47.435
13,51.195,58.769
14,51.092,51.688
15,56.397,46.853
16,17.885,63.235
17,37.391,38.744
18,35.929,55.591
19,9.953,34.478
20,36.474,45.53
21,40.334,70.268
22,39.141,44.827
23,39.23,53.976
24,37.964,56.246
25,44.421,50.146
26,42.211,64.635
27,48.19,31.957
28,38.007,50.677
29,43.869,60.237
30,43.018,45.095
31,45.454,51.44
32,45.835,53.329
33,17.973,42.099
34,66.169,59.988
35,55.56,31.775
36,22.143,56.769
37,39.709,35.812
38,52.434,61.979
39,44.201,52.988
40,49.373,44.863
41,35.563,53.361
42,72.645,39.597
43,33.169,34.17
44,39.692,47.391
45,12.152,56.618
46,57.947,48.173
47,29.616,40.544
48,53.283,25.609
49,40.633,40.846
50,36.962,50.916
51,58.369,71.404
52,48.229,42.439
53,21.129,24.663
54,47.868,56.338
55,49.679,53.456
56,43.376,58.049
57,36.377,48.103
58,38.908,55.724
59,27.766,57.994
60,33.842,63.878
61,20.228,54.524
62,39.733,46.683
63,38.428,63.887
64,42.509,30.6
65,42.174,22.834
66,55.053,30.719
67,44.748,56.529
68,32.679,63.577
69,37.909,51.629
70,40.325,46.731
71,25.717,68.871
72,45.448,48.475
73,55.171,40.858
74,23.604,52.133
75,11.23,52.051
76,42.917,51.319
77,47.938,50.199
78,4.961,59.339
79,45.344,23.584
80,28.635,53.923
81,48.204,49.891
82,18.622,51.047
83,30.199,47.485
84,31.796,42.266
85,59.437,44.799
86,39.867,71.793
87,29.624,65.198
88,62.153,22.587
89,34.409,26.706
90,35.127,60.638
91,47.261,50.525
92,54.779,40.007
93,56.354,52.576
94,30.725,65.105
95,42.396,32.428
96,59.906,41.641
97,47.711,45.186
98,27.88,49.97
99,37.969,41.814
0,45.531,40.047
1,29.88,27.792
2,5.359,49.729
3,45.11,56.754
4,35.574,52.201
5,43.351,54.501
6,43.576,33.709
7,30.344,56.822
8,48.054,47.241
9,46.22,58.609
10,44.448,60.137
11,42.556,27.851
12,43.481,42.31
13,39.773,54.169
14,45.781,79.411
15,48.357,48.584
16,35.299,45.074
17,50.539,50.359
18,47.903,39.309
19,43.511,70.806
20,42.471,45.728
21,26.335,42.142
22,31.783,56.064
23,28.882,62.365
24,43.417,53.853
25,18.565,48.942
26,43.718,36.321
27,55.724,52.736
28,45.189,33.996
29,37.283,40.541
30,36.479,43.092
31,48.374,63.379
32,36.529,57.957
33,48.818,51.431
34,39.981,54.841
35,42.221,50.811
36,68.308,42.764
37,41.824,64.439
38,50.721,61.473
39,45.792,46.029
40,34.015,71.841
41,34.307,41.507
42,63.091,47.466
43,52.114,64.935
44,44.612,57.712
45,36.805,71.683
46,29.25,57.879
47,50.436,40.145
48,27.318,62.353
49,57.176,41.028
50,44.351,46.075
51,52.157,46.823
52,30.674,62.094
53,22.847,41.861
54,45.837,51.147
55,27.479,77.248
56,39.461,73.87
57,44.358,52.72
58,37.411,47.117
59,41.81,46.939
60,51.284,43.7
61,29.422,22.648
62,39.499,52.677
63,30.796,46.17
64,35.519,55.736
65,35.144,49.591
66,51.248,43.064
67,39.146,46.486
68,29.758,48.912
69,54.516,62.049
70,33.777,26.951
71,28.851,38.258
72,55.494,64.7
73,36.721,45.99
74,43.352,53.774
75,36.184,33.066
76,42.27,38.846
77,36.607,44.677
78,44.051,52.088
79,33.104,46.218
80,42.262,52.915
81,24.066,75.907
82,39.198,42.586
83,45.428,58.87
84,31.158,31.692
85,43.059,63.679
86,50.497,57.007
87,22.974,49.083
88,42.554,64.512
89,48.332,23.963
90,63.608,55.751
91,38.716,59.655
92,47.543,58.333
93,35.192,42.996
94,27.471,66.657
95,35.064,64.129
96,55.334,37.38
97,27.373,50.96
98,47.256,54.163
99,50.636,53.123
0,36.148,48.212
1,48.802,49.797
2,48.569,63.025
3,46.718,55.251
4,31.18,56.645
5,38.605,69.538
6,19.556,22.686
7,50.854,24.442
8,48.476,36.642
9,32.406,46.188
10,54.35,70.143
11,20.151,62.711
12,49.307,58.904
13,27.836,41.088
14,45.864,36.396
15,33.088,65.22
16,57.71,37.397
17,32.684,46.058
18,33.752,66.92
19,36.878,40.885
20,33.109,52.581
21,24.244,35.477
22,47.826,62.512
23,60.539,30.362
24,52.339,66.083
25,54.443,31.3
26,26.522,54.702
27,58.735,56.211
28,34.477,65.515
29,32.507,38.514
30,42.302,37.202
31,36.811,57.411
32,33.196,76.592
33,53.208,40.421
34,33.199,53.715
35,50.716,48.607
36,31.203,44.228
37,43.045,42.517
38,32.424,53.944
39,34.449,32.985
40,32.254,56.134
41,53.1,61.903
42,27.963,36.717
43,48.014,49.974
44,54.878,42.221
45,26.391,49.963
46,34.496,58.163
47,37.573,18.459
48,34.378,34.29
49,41.836,44.26
50,46.639,60.215
51,26.008,49.412
52,37.564,50.864
53,49.253,48.614
54,46.246,65.113
55,48.549,55.407
56,34.709,52.031
57,39.79,50.366
58,42.07,59.367
59,37.244,49.394
60,50.814,54.844
61,35.969,49.84
62,31.951,48.212
63,26.037,73.821
64,32.198,41.524
65,26.539,57.608
66,36.217,49.966
67,18.942,38.198
68,29.881,54.236
69,27.019,58.068
70,28.669,33.505
71,38.221,35.152
72,44.595,64.775
73,38.548,50.279
74,19.067,67.969
75,20.24,51.522
76,20.111,53.799
77,61.338,42.528
78,43.275,29.485
79,29.62,45.32
80,40.996,46.075
81,40.094,67.125
82,25.485,52.506
83,51.284,55.165
84,35.075,44.131
85,14.138,31.958
86,46.813,44.378
87,35.983,49.877
88,47.417,27.003
89,50.954,40.392
90,25.995,46.334
91,40.606,55.977
92,67.289,41.578
93,38.317,68.621
94,47.696,55.721
95,38.136,46.01
96,29.069,31.601
97,35.805,39.245
98,22.951,17.652
99,60.359,53.314
0,26.034,35.278
1,43.188,58.776
2,42.246,43.756
3,64.486,71.292
4,33.522,49.368
5,48.75,57.521
6,38.848,49.974
7,38.308,35.934
8,34.946,49.476
9,74.873,60.488
10,45.564,50.442
11,29.065,78.002
12,27.978,58.686
13,42.538,66.718
14,17.465,41.691
15,39.627,32.318
16,43.121,57.596
17,32.62,54.313
18,25.367,36.514
19,31.404,45.993
20,38.819,48.841
21,34.912,58.52
22,28.061,53.147
23,44.317,24.282
24,36.071,47.712
25,33.208,56.793
26,20.23,62.802
27,33.312,52.878
28,49.138,30.535
29,36.948,61.069
30,68.318,42.047
31,26.33,28.077
32,39.462,53.682
33,42.678,31.887
34,44.774,45.225
35,56.338,37.971
36,28.894,46.211
37,53.249,46.835
38,14.106,65.163
39,46.502,46.046
40,47.517,38.72
41,31.178,46.876
42,43.324,50.144
43,40.652,36.563
44,38.867,43.83
45,60.069,46.931
46,31.473,59.893
47,24.855,53.054
48,40.787,52.758
49,38.958,30.857
50,34.756,38.83
51,72.339,55.759
52,53.955,62.863
53,42.385,56.366
54,43.629,81.871
55,28.496,56.782
56,42.471,32.446
57,31.793,27.076
58,27.818,54.302
59,24.502,60.619
60,54.442,50.104
61,49.493,52.827
62,41.383,53.626
63,54.628,45.735
64,42.66,46.702
65,49.155,54.368
66,36.769,52.323
67,40.347,53.749
68,46.747,55.965
69,20.495,63.541
70,51.164,35.532
71,44.938,47.235
72,23.316,29.868
73,39.581,31.551
74,33.989,61.538
75,34.107,53.221
76,24.161,49.768
77,35.704,70.498
78,37.896,62.699
79,37.188,50.479
80,25.885,50.841
81,35.715,39.828
82,42.56,76.872
83,25.561,35.471
84,54.51,39.542
85,53.929,52.151
86,46.804,20.855
87,44.48,41.913
88,43.798,61.543
89,40.324,42.777
90,42.188,59.115
91,31.46,46.077
92,42.23,60.142
93,24.051,69.126
94,28.116,51.618
95,35.66,49.897
96,48.453,54.581
97,47.854,53.189
98,33.39,47.079
99,50.486,68.156
0,19.394,50.13
1,45.368,25.929
2,49.453,51.22
3,40.419,47.175
4,42.364,39.689
5,33.188,40.2
6,36.876,42.293
7,29.08,45.45
8,39.522,43.305
9,50.36,55.402
10,40.137,46.319
11,38.693,55.107
12,41.251,50.039
13,25.835,36.023
14,54.36,46.073
15,47.42,44.51
16,48.225,50.319
17,27.279,38.175
18,41.392,55.222
19,40.881,52.832
20,49.351,54.092
21,42.646,13.404
22,56.586,45.904
23,26.711,48.693
24,39.896,32.87
25,27.995,50.517
26,36.551,62.392
27,58.199,55.73
28,41.088,11.331
29,46.214,47.777
30,36.413,56.956
31,53.059,57.675
32,59.203,37.027
33,47.312,45.103
34,45.02,43.408
35,42.109,19.891
36,34.58,55.369
37,45.096,57.09
38,19.406,42.276
39,36.91,63.926
40,47.337,40.706
41,38.529,45.211
42,49.141,51.29
43,39.292,37.955
44,54.953,45.81
45,22.946,57.212
46,27.807,34.897
47,49.45,63.011
48,32.132,29.793
49,36.281,42.782
50,54.987,50.042
51,19.492,56.477
52,21.793,49.972
53,62.211,48.635
54,18.032,60.883
55,33.253,41.198
56,54.068,46.132
57,54.923,67.389
58,37.897,59.725
59,24.497,55.037
60,28.782,44.448
61,32.876,52.721
62,41.006,48.883
63,63.638,39.847
64,51.78,59.113
65,31.024,55.57
66,52.233,61.482
67,23.469,44.178
68,51.568,27.168
69,20.588,59.263
70,39.297,60.616
71,36.459,61.424
72,51.325,63.599
73,49.54,48.147
74,55.983,50.394
75,40.032,83.226
76,46.465,27.937
77,31.062,46.592
78,29.94,42.516
79,35.019,67.296
80,34.136,31.202
81,32.826,50.075
82,29.71,51.513
83,58.81,63.212
84,33.12,61.704
85,38.103,53.5
86,62.775,52.906
87,47.451,43.171
88,36.359,50.436
89,46.672,56.321
90,41.088,84.826
91,51.665,32.77
92,44.952,20.801
93,39.654,59.132
94,50.508,72.268
95,36.791,48.403
96,43.466,48.983
97,43.449,42.557
